code_dec,code_hex,rom_offset,attribute_hex,pin_bank,proportional_start_col,proportional_end_col,proportional_width_units,stored_inverted_columns_hex,active_columns_hex
145,91,0x1E6F,8A,top8,0,10,11,F9 E7 9F FF 7D EF 7D 93 FF FF FF,06 18 60 00 82 10 82 6C 00 00 00
146,92,0x1E7B,8B,top8,0,11,12,F1 CF BF 6F F1 8F 7D EF 7D FF FF,0E 30 40 90 0E 70 82 10 82 00 00
147,93,0x1E87,8B,top8,0,11,12,FB DD F7 DD E3 DD F7 DD EF FF FF,04 22 08 22 1C 22 08 22 10 00 00
148,94,0x1E93,8B,top8,0,11,12,E5 DB BD F7 6D DF 7B B7 4F FF FF,1A 24 42 08 92 20 84 48 B0 00 00
149,95,0x1E9F,8A,top8,0,10,11,F3 EE FD D3 ED DF BB E7 FF FF FF,0C 11 02 2C 12 20 44 18 00 00 00
150,96,0x1EAB,AA,top8,2,10,9,FF FF 7F FF FF FF 7F FF FF FF FF,00 00 80 00 00 00 80 00 00 00 00
151,97,0x1EB7,8B,top8,0,11,12,FD FB F7 EB 7F DB FF C1 7F FF FF,02 04 08 14 80 24 00 3E 80 00 00
152,98,0x1EC3,8B,top8,0,11,12,F3 ED FF 5D FF DD FF 5B E7 FF FF,0C 12 00 A2 00 22 00 A4 18 00 00
153,99,0x1ECF,8B,top8,0,11,12,F3 CD FF 7D FF FD FF 73 CF FF FF,0C 32 00 82 00 02 00 8C 30 00 00
154,9A,0x1EDB,8A,top8,0,10,11,FB F5 DF 75 DF F5 DB 65 FF FF FF,04 0A 20 8A 20 0A 24 9A 00 00 00
155,9B,0x1EE7,8A,top8,0,10,11,F3 ED FF 5F FD FF DB 67 FF FF FF,0C 12 00 A0 02 00 24 98 00 00 00
156,9C,0x1EF3,8B,top8,0,11,12,F3 CD 7F FD FF FD F3 4D FF FF FF,0C 32 80 02 00 02 0C B2 00 00 00
157,9D,0x1EFF,8B,top8,0,11,12,F9 E7 DD F7 DD B7 DD 7F DF FF FF,06 18 22 08 22 48 22 80 20 00 00
158,9E,0x1F0B,8A,top8,0,10,11,F3 ED D7 FD 97 FD 57 EF FF FF FF,0C 12 28 02 68 02 A8 10 00 00 00
159,9F,0x1F17,8B,top8,0,11,12,F7 DF 77 99 E7 DF B7 DF 7F FF FF,08 20 88 66 18 20 48 20 80 00 00
160,A0,0x1F23,8B,top8,0,11,12,FF FF FF FF FF FF FF FF FF FF FF,00 00 00 00 00 00 00 00 00 00 00
161,A1,0x1F2F,9A,top8,1,10,10,FF FD FF F7 EF DF BF 7F FF FF FF,00 02 00 08 10 20 40 80 00 00 00
162,A2,0x1F3B,9A,top8,1,10,10,FF DF BF 7F FF DF BF 7F FF FF FF,00 20 40 80 00 20 40 80 00 00 00
163,A3,0x1F47,8B,top8,0,11,12,D7 F9 C7 3F D7 F9 C7 3F D7 FF FF,28 06 38 C0 28 06 38 C0 28 00 00
164,A4,0x1F53,8A,top8,0,10,11,FF DB EF B9 C7 3B EF B7 FF FF FF,00 24 10 46 38 C4 10 48 00 00 00
165,A5,0x1F5F,8B,top8,0,11,12,BF 7D BB 77 EF DD BB 7D FB FF FF,40 82 44 88 10 22 44 82 04 00 00
166,A6,0x1F6B,8B,top8,0,11,12,F3 EF BD 5F ED 57 BB F5 EF FF FF,0C 10 42 A0 12 A8 44 0A 10 00 00
167,A7,0x1F77,C8,top8,4,8,5,FF FF FF FF BF 7F FF FF FF FF FF,00 00 00 00 40 80 00 00 00 00 00
168,A8,0x1F83,BA,top8,3,10,8,FF FF FF E3 DD BF FF 7F FF FF FF,00 00 00 1C 22 40 00 80 00 00 00
169,A9,0x1F8F,98,top8,1,8,8,FF FD FF FB 77 8F FF FF FF FF FF,00 02 00 04 88 70 00 00 00 00 00
170,AA,0x1F9B,8B,top8,0,11,12,EF FB AF D7 EF D7 EB BF EF FF FF,10 04 50 28 10 28 14 40 10 00 00
171,AB,0x1FA7,8B,top8,0,11,12,EF FF EB F7 EF DF AF FF EF FF FF,10 00 14 08 10 20 50 00 10 00 00
172,AC,0x1FB3,18,bottom8,1,8,8,FF FE FB F5 FB F7 FF FF FF FF FF,00 01 04 0A 04 08 00 00 00 00 00
173,AD,0x1FBF,8B,top8,0,11,12,EF FF EF FF EF FF EF FF EF FF FF,10 00 10 00 10 00 10 00 10 00 00
174,AE,0x1FCB,A8,top8,2,8,7,FF FF FD FB FD FB FF FF FF FF FF,00 00 02 04 02 04 00 00 00 00 00
175,AF,0x1FD7,9A,top8,1,10,10,FF FD FB F7 EF DF BF 7F FF FF FF,00 02 04 08 10 20 40 80 00 00 00
176,B0,0x1FE3,8B,top8,0,11,12,E3 DF BD FF 7D FF 7B F7 8F FF FF,1C 20 42 00 82 00 84 08 70 00 00
177,B1,0x1FEF,99,top8,1,9,9,FF FD FF B9 E7 9D 7F FF FF FF FF,00 02 00 46 18 62 80 00 00 00 00
178,B2,0x1FFB,8B,top8,0,11,12,FD BF F9 7F F5 7F ED 7F 9F FF FF,02 40 06 80 0A 80 12 80 60 00 00
179,B3,0x2007,8B,top8,0,11,12,FB FF 7D FF 6D FF 4D B3 7F FF FF,04 00 82 00 92 00 B2 4C 80 00 00
180,B4,0x2013,8B,top8,0,11,12,F7 EF F7 DF F7 B9 C7 3F F7 FF FF,08 10 08 20 08 46 38 C0 08 00 00
181,B5,0x201F,8B,top8,0,11,12,FB 9F 7D DF 7D DF 7B E7 7F FF FF,04 60 82 20 82 20 84 18 80 00 00
182,B6,0x202B,8A,top8,0,10,11,F3 ED DF ED BF ED 7F F3 FF FF FF,0C 12 20 12 40 12 80 0C 00 00 00
183,B7,0x2037,8B,top8,0,11,12,7F FD 7B F7 6F DF 7F BF 7F FF FF,80 02 84 08 90 20 80 40 80 00 00
184,B8,0x2043,8B,top8,0,11,12,F3 9D EF 7D EF 7D EF 73 9F FF FF,0C 62 10 82 10 82 10 8C 60 00 00
185,B9,0x204F,8A,top8,0,10,11,9F FD 6F FB 6F F7 6F 9F FF FF FF,60 02 90 04 90 08 90 60 00 00 00
186,BA,0x205B,A9,top8,2,9,8,FF FF FD EB DD EB DF FF FF FF FF,00 00 02 14 22 14 20 00 00 00 00
187,BB,0x2067,19,bottom8,1,9,9,FF FE FB D5 BB D7 BF FF FF FF FF,00 01 04 2A 44 28 40 00 00 00 00
188,BC,0x2073,9A,top8,1,10,10,FF EF F7 DB FD BF FF 7F FF FF FF,00 10 08 24 02 40 00 80 00 00 00
189,BD,0x207F,8A,top8,0,10,11,F7 DF F7 DF F7 DF F7 DF FF FF FF,08 20 08 20 08 20 08 20 00 00 00
190,BE,0x208B,88,top8,0,8,9,FF FD FF FB 7F B7 DF EF FF FF FF,00 02 00 04 80 48 20 10 00 00 00
191,BF,0x2097,8A,top8,0,10,11,BF FD 7F F7 7F EF 7F 9F FF FF FF,40 02 80 08 80 10 80 60 00 00 00
192,C0,0x20A3,8B,top8,0,11,12,E3 DF BD 7F ED 77 DD 77 8F FF FF,1C 20 42 80 12 88 22 88 70 00 00
193,C1,0x20AF,8B,top8,0,11,12,FD FB F7 EF D7 BF 77 FF 01 FF FF,02 04 08 10 28 40 88 00 FE 00 00
194,C2,0x20BB,8B,top8,0,11,12,F9 67 9D 7F ED 7F ED 73 9F FF FF,06 98 62 80 12 80 12 8C 60 00 00
195,C3,0x20C7,8B,top8,0,11,12,E3 DD BF 7D FF 7D FF 7B BF FF FF,1C 22 40 82 00 82 00 84 40 00 00
196,C4,0x20D3,8B,top8,0,11,12,F9 67 9D 7F FD 7F FB 77 8F FF FF,06 98 62 80 02 80 04 88 70 00 00
197,C5,0x20DF,8B,top8,0,11,12,F9 C7 3D EF 7D EF 7D FF 7F FF FF,06 38 C2 10 82 10 82 00 80 00 00
198,C6,0x20EB,8B,top8,0,11,12,F9 C7 3F EF 7F EF 7F FF 7F FF FF,06 38 C0 10 80 10 80 00 80 00 00
199,C7,0x20F7,8B,top8,0,11,12,E3 DD BF 7D FF 6D FB 67 BF FF FF,1C 22 40 82 00 92 04 98 40 00 00
200,C8,0x2103,8B,top8,0,11,12,F9 C7 3F EF FF EF F9 C7 3F FF FF,06 38 C0 10 00 10 06 38 C0 00 00
201,C9,0x210F,9A,top8,1,10,10,FF FD FF 79 E7 1D FF 7F FF FF FF,00 02 00 86 18 E2 00 80 00 00 00
202,CA,0x211B,8B,top8,0,11,12,F3 FD FF FD 7F FB 67 9F 7F FF FF,0C 02 00 02 80 04 98 60 80 00 00
203,CB,0x2127,8B,top8,0,11,12,F9 C7 3F EF DF F7 BB FD 7F FF FF,06 38 C0 10 20 08 44 02 80 00 00
204,CC,0x2133,9A,top8,1,10,10,FF F9 E7 9D 7F FD FF FD FF FF FF,00 06 18 62 80 02 00 02 00 00 00
205,CD,0x213F,8B,top8,0,11,12,F9 C7 3F FF CF FF B9 C7 3F FF FF,06 38 C0 00 30 00 46 38 C0 00 00
206,CE,0x214B,8B,top8,0,11,12,F9 C7 3F DF EF F7 F9 C7 3F FF FF,06 38 C0 20 10 08 06 38 C0 00 00
207,CF,0x2157,8B,top8,0,11,12,F3 CD BF 7D FF 7D FB 67 9F FF FF,0C 32 40 82 00 82 04 98 60 00 00
208,D0,0x2163,8B,top8,0,11,12,F9 E7 9F 6F FF 6F FF 6F 9F FF FF,06 18 60 90 00 90 00 90 60 00 00
209,D1,0x216F,8B,top8,0,11,12,E3 DF BD FF 75 FF 7B F5 8F FF FF,1C 20 42 00 8A 00 84 0A 70 00 00
210,D2,0x217B,8B,top8,0,11,12,F9 E7 9F 7F EF 77 EB 7D 9F FF FF,06 18 60 80 10 88 14 82 60 00 00
211,D3,0x2187,8B,top8,0,11,12,FB 9D FF 6D FF 6D FF 73 BF FF FF,04 62 00 92 00 92 00 8C 40 00 00
212,D4,0x2193,8B,top8,0,11,12,7F FF 79 E7 1F FF 7F FF 7F FF FF,80 00 86 18 E0 00 80 00 80 00 00
